s.no,code,product_name,brands,energy-kcal_value,sugars_value,carbohydrates_value,sugar_to_carb_ratio
424,5.20E+12,5% Greek Yoghurt,Fage,93,3,3,1
425,5.74E+12,Lurpak Lighter,Lurpak,516,0.4,0.4,1
426,3.23E+12,Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,280,3.6,43,0.08372093
427,6.11E+12,merendina big,bimo,402,38,55,0.690909091
428,5.45E+12,Coca-Cola slim 25cl,Coca-Cola,105,26.5,26.5,1
429,3.05E+12,Raspberry Conserve,Bonne Maman,239,57,57,1
430,7.61E+12,CHOCAPIC BIO Céréales 375g,"Nestlé, Chocapic",391,22.5,72.3,0.31120332
431,6.11E+12,veloute fraise,DANONE,94.7,9,14.7,0.612244898
432,5.01E+12,Tasty Wholemeal Medium,Hovis,88,1.6,15.1,0.105960265
433,6.11E+12,Levure chimique en poudre,alsa,5,0,1.5,0
434,3.30E+12,Les Tranches Végé Pois chiches,Fleury Michon,138,0.5,11,0.045454545
435,7.62E+12,Belvita Original Petit-Déjeuner miel et pépites de chocolat,LU,444,28,67,0.417910448
436,5.01E+12,50/50 Medium Bread,Kingsmill,94,3.5,16.8,0.208333333
437,4.09E+12,Baked Beans in a Rich Tomato Sauce,Bramwells,91,4.8,14.5,0.331034483
438,5.01E+12,Middle Eastern Plant-Based Falafels,Cauldron,222,3.8,20,0.19
439,6.12E+11,Super Seeded Oatcakes,Nairn&#039;s,46,0.1,5,0.02
440,5.06E+12,Piadina,Crosta & Mollica,299,2.4,47,0.05106383
441,7.61E+12,Céréales Chocapic,"Nestlé, Chocapic",388,22.4,73.6,0.304347826
442,7.62E+12,Véritable Petit Écolier Chocolat au Lait,"LU,Mondelez International",498,39,65,0.6
443,3.18E+12,Grilletines blé complet,"Brioche Pasquier, Pasquier",418,7.3,65,0.112307692
444,5.06E+12,Low Sugar Nuts & Seeds Granola imp,Lizi’s,447,2.9,56.8,0.051056338
445,7.62E+12,Belvita Petit Déjeuner Chocolat,"LU,Mondelez",439,27,66,0.409090909
446,3.07E+12,Badoit 1 L PET,BADOIT,0,0,0,0
447,8.08E+12,Pesto alla Genovese,Barilla,492,5.5,9.8,0.56122449
448,9.00E+12,Red Bull,Red Bull,46.60612,11,11,1
449,5.06E+12,Proper Corn Sweet & Salty,Popper Corn,465,11.3,56.5,0.2
450,5.01E+12,Wholemeal Bread,Warburtons,102,1.1,16.9,0.065088757
451,6.11E+12,Kiri,Kiri,36,0.3,0.6,0.5
452,6.11E+12,Leben JAOUDA,Jaouda,43.7,0,4.8,0
453,8.48E+12,Guacamole,Hacendado,149,1.4,2,0.7
454,3.02E+12,Véritable Petit Beurre Pocket,lu,105.6,5.52,17.28,0.319444444
455,3.23E+12,Harrys beau & bon pain de mie farine de ble cereales & graines 320g,Harrys,286,3.5,42,0.083333333
456,5.00E+12,Mature Cheddar,Cathedral City,416,0.1,0.1,1
457,5.05E+12,Squeezy Honey,Tesco,331,82.4,82.4,1
458,6.11E+12,Pâte a tartiner,dulcetto,522,71.7,71.8,0.998607242
459,6.11E+12,Albane,,59,0,4.8,0
460,3.34E+12,Chips de lentilles saveur fines herbes,Vico,136,0.69,17,0.040588235
461,3.15E+12,HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x4-140g,"HERTA, Le Bon Paris",109.2,0,0.9,0
462,5.00E+12,Vitalite Dairy Free Spread,Vitalite- suitable for Vegan,504,0,0,0
463,8.72E+12,FLORA NATURAL INGREDIENTS LIGHTER,Flora,252,0,0.5,0
464,6.11E+12,Raibi jamila,central,58.6,7,10.2,0.68627451
465,3.02E+12,Nutella pâte à tartiner aux noisettes et au cacao,"Ferrero, Nutella",539,56.3,57.5,0.979130435
466,4.09E+12,Greek 0%,Aldi- emporium,72,0,4.9,0
467,6.11E+12,Lait naturel,Salim,58,0,4.8,0
468,5.01E+12,Country Crisp - Chocolat noir 70% cacao,Jordans,453,20.8,63.5,0.327559055
469,3.25E+12,Biscuit complet au germe de blé,Gerblé,37,1.8,5.5,0.327272727
470,5.41E+12,Ohne Zuckerzusatz* Mango,Alpro,62,5.4,6,0.9
471,7.62E+12,Milka galette choco,"Milka, Mondelez",504,35,65,0.538461538
472,20004132,Chopped tomatoes in tomato juice,Baresa,35,4.5,5,0.9
473,8.00E+12,Pesto Classic Basil,Saclà,380,3.5,8,0.4375
474,5.05E+12,Multigrain Crunchy Rye Breads,Ryvita,37,0.4,5.8,0.068965517
475,6.11E+12,Chergui Lait,Chergui,45.5,0,4.9,0
476,8.72E+12,Tomato ketchup,Heinz,64,11,12,0.916666667
477,3.52E+12,La bûche Sainte-Maure (Poitou-Charentes,Soignon,291,1,1,1
478,3.18E+12,Tartines craquantes sarrasin,Céréal Bio,370,1.5,75,0.02
479,4.09E+12,Organic Porridge Oats,Kavanagh's,144,0.1,24,0.004166667
480,6.11E+12,Confiture De Fraises Aicha,"Aïcha,Extra",239,57.5,59.8,0.961538462
481,6.11E+12,Original Doux & crémeux,,253,0,6,0
482,5.06E+12,Cocoa Orange Fruit & Nut Bars,Nakd,138,15,18,0.833333333
483,5.06E+12,Crunchy Peanut Butter,Pip & Nut,91,0.9,1.8,0.5
484,6.11E+12,Jutos,Jaouda,105.5,20,25,0.8
485,6.11E+12,Leben BELDI,Chergui,48,3.4,5,0.68
486,252751,White Sourdough,Sainsbury's,256,2.9,46.7,0.062098501
487,6.11E+12,MARG VITAL OVAL PF 200G,vital,514,0,0.5,0
488,8.08E+12,Basilico 400g eu,Barilla,64,5.9,7.6,0.776315789
489,8.48E+12,Tomate frito,Hacendado,81,7.2,11.6,0.620689655
